label,N,S,E,W,total_vehicles,max_min_ratio,fixed_clearance_s,fixed_cleared,rl_clearance_s,rl_cleared,diff_s,pct_improvement
balanced_light,3,3,3,3,12,1.0,58.65,True,32.0,True,26.65,45.44
balanced_medium,7,7,7,7,28,1.0,69.55,True,56.0,True,13.55,19.48
balanced_heavy,10,10,10,10,40,1.0,73.05,True,72.0,True,1.05,1.44
balanced_max,13,13,13,13,52,1.0,74.95,True,88.0,True,-13.05,-17.41
mild_ns_heavy,8,8,4,4,24,2.0,58.65,True,56.0,True,2.65,4.52
mild_ew_heavy,4,4,8,8,24,2.0,68.8,True,104.0,True,-35.2,-51.16
mild_n_heavy,10,5,5,5,25,2.0,60.0,True,56.0,True,4.0,6.67
mild_e_heavy,5,5,10,5,25,2.0,64.65,True,56.0,True,8.65,13.38
mod_ns_heavy,10,10,2,2,24,5.0,53.2,True,48.0,True,5.2,9.77
mod_ew_heavy,2,2,10,10,24,5.0,73.1,True,88.0,True,-14.9,-20.38
mod_n_only_heavy,12,3,3,3,21,4.0,58.65,True,48.0,True,10.65,18.16
mod_w_only_heavy,3,3,3,12,21,4.0,67.85,True,80.0,True,-12.15,-17.91
severe_ns_heavy,13,13,1,1,28,13.0,51.45,True,64.0,True,-12.55,-24.39
severe_ew_heavy,1,1,13,13,28,13.0,76.1,True,88.0,True,-11.9,-15.64
severe_n_only,13,1,1,1,16,13.0,51.45,True,48.0,True,3.45,6.71
severe_s_only,1,13,1,1,16,13.0,51.45,True,48.0,True,3.45,6.71
severe_e_only,1,1,13,1,16,13.0,63.85,True,88.0,True,-24.15,-37.82
severe_w_only,1,1,1,13,16,13.0,62.35,True,88.0,True,-25.65,-41.14
mixed_1,13,6,9,2,30,6.5,61.25,True,64.0,True,-2.75,-4.49
mixed_2,2,9,6,13,30,6.5,72.6,True,64.0,True,8.6,11.85
